user_name,repo_name,repo_url,stars
mrdoob,three.js,https://github.com/mrdoob/three.js,102000
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,27400
libgdx,libgdx,https://github.com/libgdx/libgdx,23300
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,23200
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,20500
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,19600
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,17900
aframevr,aframe,https://github.com/aframevr/aframe,16700
blender,blender,https://github.com/blender/blender,13200
CesiumGS,cesium,https://github.com/CesiumGS/cesium,12900
MonoGame,MonoGame,https://github.com/MonoGame/MonoGame,11500
isl-org,Open3D,https://github.com/isl-org/Open3D,11400
mapbox,mapbox-gl-js,https://github.com/mapbox/mapbox-gl-js,11200
4ian,GDevelop,https://github.com/4ian/GDevelop,11000
metafizzy,zdog,https://github.com/metafizzy/zdog,10400
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,9800
nerfstudio-project,nerfstudio,https://github.com/nerfstudio-project/nerfstudio,9500
cocos,cocos-engine,https://github.com/cocos/cocos-engine,8200
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,7700
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,7700
