user_name,repo_name,repo_url,stars
public-apis,public-apis,https://github.com/public-apis/public-apis,316000
neovim,neovim,https://github.com/neovim/neovim,82900
fastapi,fastapi,https://github.com/fastapi/fastapi,77100
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,65099
strapi,strapi,https://github.com/strapi/strapi,63600
ocornut,imgui,https://github.com/ocornut/imgui,60900
QuivrHQ,quivr,https://github.com/QuivrHQ/quivr,36500
slatedocs,slate,https://github.com/slatedocs/slate,36100
trpc,trpc,https://github.com/trpc/trpc,34900
Kong,insomnia,https://github.com/Kong/insomnia,34700
httpie,cli,https://github.com/httpie/cli,33800
ccxt,ccxt,https://github.com/ccxt/ccxt,32900
hasura,graphql-engine,https://github.com/hasura/graphql-engine,31200
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,30300
encode,django-rest-framework,https://github.com/encode/django-rest-framework,28400
directus,directus,https://github.com/directus/directus,27900
YMFE,yapi,https://github.com/YMFE/yapi,27400
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,25600
mudler,LocalAI,https://github.com/mudler/LocalAI,24300
PostgREST,postgrest,https://github.com/PostgREST/postgrest,23400
