user_name,repo_name,repo_url,stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,306000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,194000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,188000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,177000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,118000
krahets,hello-algo,https://github.com/krahets/hello-algo,97900
kdn251,interviews,https://github.com/kdn251/interviews,63600
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,59900
azl397985856,leetcode,https://github.com/azl397985856/leetcode,54700
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,51600
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,46700
huihut,interview,https://github.com/huihut/interview,34800
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,32900
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,32500
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,30600
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,29500
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,27100
keon,algorithms,https://github.com/keon/algorithms,24000
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,23300
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,23300
