user_name,repo_name,repo_url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,66500
ByteByteGoHq,system-design-101,https://github.com/ByteByteGoHq/system-design-101,64000
localstack,localstack,https://github.com/localstack/localstack,56100
serverless,serverless,https://github.com/serverless/serverless,46500
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,27400
pulumi,pulumi,https://github.com/pulumi/pulumi,21700
danny-avila,LibreChat,https://github.com/danny-avila/LibreChat,18500
getsops,sops,https://github.com/getsops/sops,16900
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,16100
aws,aws-cli,https://github.com/aws/aws-cli,15500
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,15100
caprover,caprover,https://github.com/caprover/caprover,13200
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,12600
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,12500
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,12300
aws,aws-cdk,https://github.com/aws/aws-cdk,11600
infracost,infracost,https://github.com/infracost/infracost,11000
apereo,cas,https://github.com/apereo/cas,10900
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,10800
aws,chalice,https://github.com/aws/chalice,10700
