user_name,repo_name,repo_url,stars
amphp,amp,https://github.com/amphp/amp,4200
danog,MadelineProto,https://github.com/danog/MadelineProto,2900
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,791
amphp,parallel,https://github.com/amphp/parallel,786
amphp,http-client,https://github.com/amphp/http-client,701
amphp,byte-stream,https://github.com/amphp/byte-stream,367
amphp,mysql,https://github.com/amphp/mysql,358
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,349
amphp,parallel-functions,https://github.com/amphp/parallel-functions,271
xtrime-ru,TelegramRSS,https://github.com/xtrime-ru/TelegramRSS,239
amphp,socket,https://github.com/amphp/socket,230
amphp,process,https://github.com/amphp/process,229
amphp,sync,https://github.com/amphp/sync,161
amphp,redis,https://github.com/amphp/redis,156
amphp,dns,https://github.com/amphp/dns,157
amphp,websocket-client,https://github.com/amphp/websocket-client,145
kelunik,acme,https://github.com/kelunik/acme,121
amphp,websocket-server,https://github.com/amphp/websocket-server,115
amphp,serialization,https://github.com/amphp/serialization,110
amphp,cache,https://github.com/amphp/cache,99
