user_name,repo_name,repo_url,stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,112000
angular,angular,https://github.com/angular/angular,96100
storybookjs,storybook,https://github.com/storybookjs/storybook,84500
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,63700
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,51000
prettier,prettier,https://github.com/prettier/prettier,49400
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,43200
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,35100
angular,angular-cli,https://github.com/angular/angular-cli,26800
wailsapp,wails,https://github.com/wailsapp/wails,25200
angular,components,https://github.com/angular/components,24400
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,24200
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,24100
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,24000
nrwl,nx,https://github.com/nrwl/nx,23600
pubkey,rxdb,https://github.com/pubkey/rxdb,21600
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,21500
paperless-ngx,paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,20600
teambit,bit,https://github.com/teambit/bit,17900
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,17300
