user_name,repo_name,repo_url,stars
arendst,Tasmota,https://github.com/arendst/Tasmota,22200
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,16300
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,15400
arduino,Arduino,https://github.com/arduino/Arduino,14100
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,13600
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,13500
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,13300
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,10300
hybridgroup,gobot,https://github.com/hybridgroup/gobot,8900
platformio,platformio-core,https://github.com/platformio/platformio-core,7900
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,6700
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,6600
justcallmekoko,ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,5700
olikraus,u8g2,https://github.com/olikraus/u8g2,5100
omriharel,deej,https://github.com/omriharel/deej,4800
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,4700
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,4500
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,4400
arduino,arduino-cli,https://github.com/arduino/arduino-cli,4400
hybridgroup,cylon,https://github.com/hybridgroup/cylon,4200
