user_name,repo_name,repo_url,stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,331000
vinta,awesome-python,https://github.com/vinta/awesome-python,223000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,201000
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,147000
avelino,awesome-go,https://github.com/avelino/awesome-go,132000
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,92500
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,87800
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,84500
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,76500
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,71200
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,68800
enaqx,awesome-react,https://github.com/enaqx/awesome-react,65300
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,59600
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,58800
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,58400
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,57200
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,53600
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,50600
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,48200
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,47300
