user_name,repo_name,repo_url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,66500
microsoft,generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,64599
pulumi,pulumi,https://github.com/pulumi/pulumi,21700
danny-avila,LibreChat,https://github.com/danny-avila/LibreChat,18500
getsops,sops,https://github.com/getsops/sops,16900
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,15100
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,14000
caprover,caprover,https://github.com/caprover/caprover,13200
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,12300
infracost,infracost,https://github.com/infracost/infracost,11000
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,10800
budtmo,docker-android,https://github.com/budtmo/docker-android,9700
google,go-cloud,https://github.com/google/go-cloud,9600
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,9500
Netflix,metaflow,https://github.com/Netflix/metaflow,8200
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7600
midwayjs,midway,https://github.com/midwayjs/midway,7400
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,7100
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,7100
node-formidable,formidable,https://github.com/node-formidable/formidable,7100
