user_name,repo_name,repo_url,stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,153000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,79800
junegunn,fzf,https://github.com/junegunn/fzf,65200
starship,starship,https://github.com/starship/starship,45000
google,zx,https://github.com/google/zx,43100
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,40200
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,39200
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,36500
koalaman,shellcheck,https://github.com/koalaman/shellcheck,36300
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,33100
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,31900
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,30300
withfig,autocomplete,https://github.com/withfig/autocomplete,24600
kingToolbox,WindTerm,https://github.com/kingToolbox/WindTerm,23100
ajeetdsouza,zoxide,https://github.com/ajeetdsouza/zoxide,22600
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,22100
asdf-vm,asdf,https://github.com/asdf-vm/asdf,22000
warpdotdev,Warp,https://github.com/warpdotdev/Warp,21300
atuinsh,atuin,https://github.com/atuinsh/atuin,20700
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,19200
