user_name,repo_name,repo_url,stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,79100
ccxt,ccxt,https://github.com/ccxt/ccxt,32900
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,28600
bitcoinbook,bitcoinbook,https://github.com/bitcoinbook/bitcoinbook,23500
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,18400
solana-labs,solana,https://github.com/solana-labs/solana,13100
bbfamily,abu,https://github.com/bbfamily/abu,12000
askmike,gekko,https://github.com/askmike/gekko,10100
hummingbot,hummingbot,https://github.com/hummingbot/hummingbot,8200
dvf,blockchain,https://github.com/dvf/blockchain,7800
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,7700
UFund-Me,Qbot,https://github.com/UFund-Me/Qbot,7600
spesmilo,electrum,https://github.com/spesmilo/electrum,7400
getumbrel,umbrel,https://github.com/getumbrel/umbrel,7400
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6800
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,6400
btcsuite,btcd,https://github.com/btcsuite/btcd,6200
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,5700
jesse-ai,jesse,https://github.com/jesse-ai/jesse,5600
