user_name,repo_name,repo_url,stars
ccxt,ccxt,https://github.com/ccxt/ccxt,32900
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,26200
discordjs,discord.js,https://github.com/discordjs/discord.js,25400
feder-cr,Auto_Jobs_Applier_AIHawk,https://github.com/feder-cr/Auto_Jobs_Applier_AIHawk,21200
wechaty,wechaty,https://github.com/wechaty/wechaty,20300
RasaHQ,rasa,https://github.com/RasaHQ/rasa,18900
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,16800
hubotio,hubot,https://github.com/hubotio/hubot,16700
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,15400
leon-ai,leon,https://github.com/leon-ai/leon,15400
Rapptz,discord.py,https://github.com/Rapptz/discord.py,14800
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,14200
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,14100
lss233,chatgpt-mirai-qq-bot,https://github.com/lss233/chatgpt-mirai-qq-bot,13200
howdyai,botkit,https://github.com/howdyai/botkit,11500
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,10400
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,10000
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,8400
telegraf,telegraf,https://github.com/telegraf/telegraf,8300
hummingbot,hummingbot,https://github.com/hummingbot/hummingbot,8200
