user_name,repo_name,repo_url,stars
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,203000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,177000
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,59600
azl397985856,leetcode,https://github.com/azl397985856/leetcode,54700
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,51600
WerWolv,ImHex,https://github.com/WerWolv/ImHex,44700
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,44700
Light-City,CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,39300
ClickHouse,ClickHouse,https://github.com/ClickHouse/ClickHouse,37400
huihut,interview,https://github.com/huihut/interview,34800
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,32299
doocs,leetcode,https://github.com/doocs/leetcode,31500
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,31100
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,30600
microsoft,calculator,https://github.com/microsoft/calculator,29700
aseprite,aseprite,https://github.com/aseprite/aseprite,29300
dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,25700
gabime,spdlog,https://github.com/gabime/spdlog,24300
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,24100
ethereum,solidity,https://github.com/ethereum/solidity,23300
