user_name,repo_name,repo_url,stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,111000
neovim,neovim,https://github.com/neovim/neovim,82900
obsproject,obs-studio,https://github.com/obsproject/obs-studio,60100
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,59600
git,git,https://github.com/git/git,52400
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,45700
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,41600
vim,vim,https://github.com/vim/vim,36500
curl,curl,https://github.com/curl/curl,35800
huihut,interview,https://github.com/huihut/interview,34800
mpv-player,mpv,https://github.com/mpv-player/mpv,28300
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,26200
ossrs,srs,https://github.com/ossrs/srs,25700
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,24400
google,flatbuffers,https://github.com/google/flatbuffers,23300
microsoft,vcpkg,https://github.com/microsoft/vcpkg,23100
raysan5,raylib,https://github.com/raysan5/raylib,22400
ruby,ruby,https://github.com/ruby/ruby,22100
hashcat,hashcat,https://github.com/hashcat/hashcat,21200
forthespada,CS-Books,https://github.com/forthespada/CS-Books,21100
