user_name,repo_name,repo_url,stars
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,31900
refined-github,refined-github,https://github.com/refined-github/refined-github,24800
openai-translator,openai-translator,https://github.com/openai-translator/openai-translator,23800
darkreader,darkreader,https://github.com/darkreader/darkreader,19600
dailydotdev,daily,https://github.com/dailydotdev/daily,18500
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,15500
checkly,headless-recorder,https://github.com/checkly/headless-recorder,15000
immersive-translate,immersive-translate,https://github.com/immersive-translate/immersive-translate,14200
unbug,codelf,https://github.com/unbug/codelf,14100
wong2,chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,13300
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,12600
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,12200
crimx,ext-saladict,https://github.com/crimx/ext-saladict,12000
AutomaApp,automa,https://github.com/AutomaApp/automa,11600
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,11500
PlasmoHQ,plasmo,https://github.com/PlasmoHQ/plasmo,10500
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,10200
chathub-dev,chathub,https://github.com/chathub-dev/chathub,10000
josStorer,chatGPTBox,https://github.com/josStorer/chatGPTBox,10000
xifangczy,cat-catch,https://github.com/xifangczy/cat-catch,9700
