user_name,repo_name,repo_url,stars
metabase,metabase,https://github.com/metabase/metabase,38600
penpot,penpot,https://github.com/penpot/penpot,33500
logseq,logseq,https://github.com/logseq/logseq,32700
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,13700
LightTable,LightTable,https://github.com/LightTable/LightTable,11700
kanaka,mal,https://github.com/kanaka/mal,10100
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,9400
tonsky,datascript,https://github.com/tonsky/datascript,5500
reagent-project,reagent,https://github.com/reagent-project/reagent,4800
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,4500
defold,defold,https://github.com/defold/defold,4300
riemann,riemann,https://github.com/riemann/riemann,4200
weavejester,compojure,https://github.com/weavejester/compojure,4100
babashka,babashka,https://github.com/babashka/babashka,4100
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,4000
status-im,status-mobile,https://github.com/status-im/status-mobile,3900
ring-clojure,ring,https://github.com/ring-clojure/ring,3800
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3500
viebel,klipse,https://github.com/viebel/klipse,3100
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,3000
