user_name,repo_name,repo_url,stars
realm,SwiftLint,https://github.com/realm/SwiftLint,18700
facebook,infer,https://github.com/facebook/infer,15000
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,13300
federico-busato,Modern-CPP-Programming,https://github.com/federico-busato/Modern-CPP-Programming,12000
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,9800
super-linter,super-linter,https://github.com/super-linter/super-linter,9500
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,9000
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,8300
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,7900
facebook,pyre-check,https://github.com/facebook/pyre-check,6900
detekt,detekt,https://github.com/detekt/detekt,6300
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,5600
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,5500
pylint-dev,pylint,https://github.com/pylint-dev/pylint,5300
pmd,pmd,https://github.com/pmd/pmd,4900
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4800
kucherenko,jscpd,https://github.com/kucherenko/jscpd,4700
phpro,grumphp,https://github.com/phpro/grumphp,4100
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,3100
crate-ci,typos,https://github.com/crate-ci/typos,2600
