user_name,repo_name,repo_url,stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,174000
junegunn,fzf,https://github.com/junegunn/fzf,65200
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,59900
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,52600
sharkdp,bat,https://github.com/sharkdp/bat,49400
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,48500
n8n-io,n8n,https://github.com/n8n-io/n8n,47900
wagoodman,dive,https://github.com/wagoodman/dive,46100
google,zx,https://github.com/google/zx,43100
chubin,cheat.sh,https://github.com/chubin/cheat.sh,38400
spf13,cobra,https://github.com/spf13/cobra,38100
cli,cli,https://github.com/cli/cli,37200
sharkdp,fd,https://github.com/sharkdp/fd,33900
httpie,cli,https://github.com/httpie/cli,33800
All-Hands-AI,OpenHands,https://github.com/All-Hands-AI/OpenHands,33300
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,33100
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,30900
tqdm,tqdm,https://github.com/tqdm/tqdm,28600
acheong08,ChatGPT,https://github.com/acheong08/ChatGPT,28000
charmbracelet,bubbletea,https://github.com/charmbracelet/bubbletea,27700
