user_name,repo_name,repo_url,stars
vercel,next.js,https://github.com/vercel/next.js,127000
rust-lang,rust,https://github.com/rust-lang/rust,98100
sveltejs,svelte,https://github.com/sveltejs/svelte,79700
webpack,webpack,https://github.com/webpack/webpack,64700
FuelLabs,sway,https://github.com/FuelLabs/sway,62600
gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,55300
JetBrains,kotlin,https://github.com/JetBrains/kotlin,49300
parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,43500
babel,babel,https://github.com/babel/babel,43200
evanw,esbuild,https://github.com/evanw/esbuild,38100
vlang,v,https://github.com/vlang/v,35800
ziglang,zig,https://github.com/ziglang/zig,34700
typst,typst,https://github.com/typst/typst,34600
markedjs,marked,https://github.com/markedjs/marked,33100
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,32299
swc-project,swc,https://github.com/swc-project/swc,31200
vercel,pkg,https://github.com/vercel/pkg,24300
v8,v8,https://github.com/v8/v8,23400
oracle,graal,https://github.com/oracle/graal,20400
crystal-lang,crystal,https://github.com/crystal-lang/crystal,19400
