user_name,repo_name,repo_url,stars
localstack,localstack,https://github.com/localstack/localstack,56100
harness,harness,https://github.com/harness/harness,32200
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,23200
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,14300
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,12300
dagger,dagger,https://github.com/dagger/dagger,11400
openshift,origin,https://github.com/openshift/origin,8500
concourse,concourse,https://github.com/concourse/concourse,7400
gocd,gocd,https://github.com/gocd/gocd,7100
buildbot,buildbot,https://github.com/buildbot/buildbot,5300
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,5200
Flagsmith,flagsmith,https://github.com/Flagsmith/flagsmith,4800
Strider-CD,strider,https://github.com/Strider-CD/strider,4600
ovh,cds,https://github.com/ovh/cds,4600
jenkins-x,jx,https://github.com/jenkins-x/jx,4600
TheLartians,ModernCppStarter,https://github.com/TheLartians/ModernCppStarter,4400
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,4300
werf,werf,https://github.com/werf/werf,4200
iterative,cml,https://github.com/iterative/cml,4000
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3900
