user_name,repo_name,repo_url,stars
crystal-lang,crystal,https://github.com/crystal-lang/crystal,19400
kemalcr,kemal,https://github.com/kemalcr/kemal,3600
veelenga,awesome-crystal,https://github.com/veelenga/awesome-crystal,3400
luckyframework,lucky,https://github.com/luckyframework/lucky,2600
amberframework,amber,https://github.com/amberframework/amber,2600
vitobotta,hetzner-k3s,https://github.com/vitobotta/hetzner-k3s,1900
getmango,Mango,https://github.com/getmango/Mango,1700
ffwff,lilith,https://github.com/ffwff/lilith,1100
drujensen,fib,https://github.com/drujensen/fib,862
hanabi1224,Programming-Language-Benchmarks,https://github.com/hanabi1224/Programming-Language-Benchmarks,650
amethyst-framework,amethyst,https://github.com/amethyst-framework/amethyst,649
owasp-noir,noir,https://github.com/owasp-noir/noir,565
askn,crystal-by-example,https://github.com/askn/crystal-by-example,549
crystal-ameba,ameba,https://github.com/crystal-ameba/ameba,520
crystal-community,icr,https://github.com/crystal-community/icr,505
will,crystal-pg,https://github.com/will/crystal-pg,463
elbywan,crystalline,https://github.com/elbywan/crystalline,441
martenframework,marten,https://github.com/martenframework/marten,424
imdrasil,jennifer.cr,https://github.com/imdrasil/jennifer.cr,418
vim-crystal,vim-crystal,https://github.com/vim-crystal/vim-crystal,416
