user_name,repo_name,repo_url,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,66500
ansible,ansible,https://github.com/ansible/ansible,62800
trailofbits,algo,https://github.com/trailofbits/algo,28900
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,27200
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,23200
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,16100
ansible,awx,https://github.com/ansible/awx,14000
semaphoreui,semaphore,https://github.com/semaphoreui/semaphore,10500
easzlab,kubeasz,https://github.com/easzlab/kubeasz,10500
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,9200
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,8400
khuedoan,homelab,https://github.com/khuedoan/homelab,8200
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,8200
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,6000
rundeck,rundeck,https://github.com/rundeck/rundeck,5500
Orange-Cyberdefense,GOAD,https://github.com/Orange-Cyberdefense/GOAD,5300
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,5000
ChristianLempa,boilerplates,https://github.com/ChristianLempa/boilerplates,4700
clong,DetectionLab,https://github.com/clong/DetectionLab,4600
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,4000
