user_name,repo_name,repo_url,stars,filename,Unnamed: 0,title,description,url
mrdoob,three.js,https://github.com/mrdoob/three.js,102000.0,3D,,,,
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,27400.0,3D,,,,
libgdx,libgdx,https://github.com/libgdx/libgdx,23300.0,3D,,,,
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,23200.0,3D,,,,
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,20500.0,3D,,,,
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,19600.0,3D,,,,
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,17900.0,3D,,,,
aframevr,aframe,https://github.com/aframevr/aframe,16700.0,3D,,,,
blender,blender,https://github.com/blender/blender,13200.0,3D,,,,
CesiumGS,cesium,https://github.com/CesiumGS/cesium,12900.0,3D,,,,
MonoGame,MonoGame,https://github.com/MonoGame/MonoGame,11500.0,3D,,,,
isl-org,Open3D,https://github.com/isl-org/Open3D,11400.0,3D,,,,
mapbox,mapbox-gl-js,https://github.com/mapbox/mapbox-gl-js,11200.0,3D,,,,
4ian,GDevelop,https://github.com/4ian/GDevelop,11000.0,3D,,,,
metafizzy,zdog,https://github.com/metafizzy/zdog,10400.0,3D,,,,
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,9800.0,3D,,,,
nerfstudio-project,nerfstudio,https://github.com/nerfstudio-project/nerfstudio,9500.0,3D,,,,
cocos,cocos-engine,https://github.com/cocos/cocos-engine,8200.0,3D,,,,
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,7700.0,3D,,,,
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,7700.0,3D,,,,
ljianshu,Blog,https://github.com/ljianshu/Blog,7900.0,Ajax,,,,
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7400.0,Ajax,,,,
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,6700.0,Ajax,,,,
